12345,600000001,WEB,232323,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,512361065059,,50.00,S,50.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232323, username=golive101, name=Alex, idType=3, idNo=020802105836, atmCardNo=5196032215004827)
1234534,600000002,WEB,232324,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,114011000017,,44.00,S,44.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232324, username=golive102, name=Stephen, idType=3, idNo=930514086045, atmCardNo=5196032215004892)
12345,600000001,WEB,232323,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,512361065059,,50.00,S,50.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232323, username=golive101, name=Alex, idType=3, idNo=020802105836, atmCardNo=5196032215004827)
1234534,600000002,WEB,232324,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,114011000017,,44.00,S,44.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232324, username=golive102, name=Stephen, idType=3, idNo=930514086045, atmCardNo=5196032215004892)
12345,600000001,WEB,232323,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,512361065059,,50.00,S,50.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232323, username=golive101, name=Alex, idType=3, idNo=020802105836, atmCardNo=5196032215004827)
1234534,600000002,WEB,232324,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,114011000017,,44.00,S,44.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232324, username=golive102, name=Stephen, idType=3, idNo=930514086045, atmCardNo=5196032215004892)
12345,600000001,WEB,232323,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,512361065059,,50.00,S,50.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232323, username=golive101, name=Alex, idType=3, idNo=020802105836, atmCardNo=5196032215004827)
1234534,600000002,WEB,232324,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,114011000017,,44.00,S,44.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232324, username=golive102, name=Stephen, idType=3, idNo=930514086045, atmCardNo=5196032215004892)
12345,600000001,WEB,232323,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,512361065059,,50.00,S,50.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232323, username=golive101, name=Alex, idType=3, idNo=020802105836, atmCardNo=5196032215004827)
1234534,600000002,WEB,232324,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,114011000017,,44.00,S,44.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232324, username=golive102, name=Stephen, idType=3, idNo=930514086045, atmCardNo=5196032215004892)
12345,600000001,WEB,232323,ACCTRANS,8007233617,CA,JRLLJELT JLRL DFUK,512361065059,,50.00,S,50.56,,,2017-05-18 10:11:00.0,M-sendMoney,ECUser(userId=232323, username=golive101, name=Alex, idType=3, idNo=020802105836, atmCardNo=5196032215004827)
